timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1705823796.786384,11,181.30.169.209219210.0.0.21806,181.30.169.209,2192,10.0.0.21,80,6,-1,-1,8,287000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,182.231.199.180207610.0.0.21806,182.231.199.180,2076,10.0.0.21,80,6,-1,-1,8,30000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,183.194.141.93228110.0.0.21806,183.194.141.93,2281,10.0.0.21,80,6,-1,-1,8,110000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,183.40.218.120223210.0.0.21806,183.40.218.120,2232,10.0.0.21,80,6,-1,-1,8,216000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,184.222.234.35226210.0.0.21806,184.222.234.35,2262,10.0.0.21,80,6,-1,-1,8,139000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,184.223.40.154228610.0.0.21806,184.223.40.154,2286,10.0.0.21,80,6,-1,-1,8,81000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,184.33.69.188234210.0.0.21806,184.33.69.188,2342,10.0.0.21,80,6,-1,-1,8,619000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,184.40.232.96220010.0.0.21806,184.40.232.96,2200,10.0.0.21,80,6,-1,-1,8,286000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,184.40.70.55216410.0.0.21806,184.40.70.55,2164,10.0.0.21,80,6,-1,-1,8,378000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,184.56.153.11226510.0.0.21806,184.56.153.11,2265,10.0.0.21,80,6,-1,-1,8,139000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,184.66.40.108212510.0.0.21806,184.66.40.108,2125,10.0.0.21,80,6,-1,-1,8,447000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,187.153.76.214228210.0.0.21806,187.153.76.214,2282,10.0.0.21,80,6,-1,-1,8,110000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
1705823796.786384,11,187.225.139.228235910.0.0.21806,187.225.139.228,2359,10.0.0.21,80,6,-1,-1,8,591000000,12,92,0,0,0,0.0,0.0,0.0,0.0,1
